AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
40,MALE,MARRIED,1,PDC,0,18,CURT,Quezon City I,12.0,OWNED,12.0," 839,017.88 "," 454,000.00 "
59,FEMALE,WIDOW,0,PDC,0,12,CURT,Quezon City I,15.0,OWNED,15.0," 1,840,189.90 "," 300,000.00 "
38,MALE,MARRIED,2,PDC,0,3,CURT,Bulacan,10.0,RENTED,10.0," 327,239.52 "," 380,000.00 "
39,MALE,MARRIED,3,PDC,0,6,CURT,Quezon City I,9.0,OWNED,19.0," 265,297.42 "," 212,000.00 "
32,FEMALE,SINGLE,3,PDC,0,6,CURT,Quezon City I,10.0,OWNED,10.0," 432,869.63 "," 110,000.00 "
36,MALE,MARRIED,2,WALK-IN,0,4,CURT,Quezon City I,6.0,BORROWED/SHARED,6.0," 111,616.58 "," 150,000.00 "
46,MALE,SINGLE,1,WALK-IN," 11,045.88 ",8,PDNP,Quezon City I,10.0,OWNED,41.0," 136,107.93 "," 100,000.00 "
30,FEMALE,SINGLE,0,PDC,0,3,CURT,Quezon City I,7.0,OWNED,29.0," 53,127.76 "," 35,000.00 "
43,FEMALE,MARRIED,2,WALK-IN,0,3,CURT,Quezon City I,5.0,RENTED,5.0," 115,615.45 "," 70,000.00 "
49,FEMALE,MARRIED,3,PDC,0,4,CURT,Quezon City I,14.0,OWNED,22.0," 185,903.32 "," 150,000.00 "
33,FEMALE,SINGLE,1,PDC,0,3,CURT,Quezon City I,14.0,BORROWED/SHARED,14.0," 366,399.82 "," 390,000.00 "
45,FEMALE,MARRIED,5,WALK-IN,0,6,CURT,Quezon City I,17.0,OWNED,20.0," 615,790.62 "," 1,200,000.00 "
34,MALE,MARRIED,2,PDC,0,6,CURT,Quezon City I,5.0,MORTGAGED,10.0," 365,849.80 "," 24,050.00 "
55,FEMALE,MARRIED,6,PDC,0,6,CURT,Quezon City I,20.0,OWNED,10.0," 589,901.80 "," 200,000.00 "
43,FEMALE,MARRIED,4,WALK-IN,0,6,CURT,Quezon City I,18.0,OWNED,12.0," 390,438.84 "," 324,000.00 "
45,MALE,MARRIED,2,PDC,0,7,CURT,Quezon City I,16.0,OWNED,6.0," 722,944.89 "," 70,000.00 "
25,MALE,SINGLE,1,PDC,0,3,CURT,Quezon City I,5.0,BORROWED/SHARED,25.0," 261,424.95 ",                               -  
37,FEMALE,MARRIED,2,PDC,0,4,CURT,Quezon City I,10.0,OWNED,33.0," 935,889.41 "," 340,000.00 "
25,MALE,SINGLE,1,WALK-IN," 46,195.66 ",3,PDNP,Quezon City I,14.0,OWNED,10.0," 451,639.94 "," 436,000.00 "
48,MALE,MARRIED,3,PDC,0,3,CURT,Quezon City I,10.0,OWNED,22.0," 329,633.26 "," 700,000.00 "
57,FEMALE,WIDOW,0,WALK-IN,0,5,CURT,Quezon City I,10.0,OWNED,22.0," 324,895.62 "," 80,000.00 "
48,FEMALE,MARRIED,2,PDC,0,6,CURT,Quezon City I,15.0,MORTGAGED,16.0," 599,818.37 "," 100,000.00 "
40,MALE,MARRIED,3,PDC,0,3,CURT,Quezon City I,3.0,OWNED,35.0," 434,727.76 "," 390,000.00 "
33,MALE,MARRIED,3,WALK-IN,0,13,CURT,Quezon City I,6.0,OWNED,30.0," 223,345.27 "," 150,000.00 "
44,FEMALE,MARRIED,3,PDC," 10,650.98 ",3,PDNP,Quezon City I,5.0,OWNED,10.0," 248,547.81 "," 180,000.00 "
43,FEMALE,SINGLE,3,PDC,0,4,CURT,Bulacan,5.0,OWNED,40.0," 604,465.28 "," 300,000.00 "
56,MALE,MARRIED,1,PDC,0,1,CURT,Quezon City I,3.0,OWNED,45.0," 125,513.99 "," 40,000.00 "
36,FEMALE,MARRIED,0,WALK-IN," 9,896.28 ",1,PDNP,Quezon City I,9.0,MORTGAGED,5.0," 58,246.98 "," 50,000.00 "
40,FEMALE,SEPARATED,1,PDC," 25,901.41 ",5,PDNP,Bulacan,10.0,OWNED,15.0," 293,209.38 "," 25,000.00 "
48,FEMALE,SINGLE,4,PDC,0,4,CURT,Bulacan,35.0,OWNED,35.0," 418,134.72 "," 240,000.00 "
34,MALE,SINGLE,2,PDC,0,3,CURT,Quezon City I,26.0,OWNED,34.0," 160,640.14 ",                               -  
34,FEMALE,MARRIED,2,PDC,0,2,CURT,Quezon City I,5.0,BORROWED/SHARED,26.0," 271,310.88 "," 140,000.00 "
50,FEMALE,MARRIED,1,PDC,0,4,CURT,Quezon City I,9.0,OWNED,5.0," 163,219.21 "," 115,450.00 "
38,FEMALE,MARRIED,4,PDC,0,2,CURT,Quezon City I,6.0,OWNED,15.0," 498,812.43 "," 278,000.00 "
29,MALE,MARRIED,2,PDC,0,4,CURT,Bulacan,4.0,OWNED,28.0," 475,814.07 "," 60,000.00 "
35,MALE,MARRIED,1,WALK-IN,0,6,CURT,Quezon City I,15.0,RENTED,20.0," 537,235.25 "," 74,000.00 "
32,MALE,MARRIED,2,PDC,0,2,CURT,Quezon City I,25.0,OWNED,26.0," 423,564.79 "," 150,000.00 "
45,FEMALE,WIDOW,1,PDC,0,6,CURT,Quezon City I,4.0,OWNED,11.0," 257,624.09 "," 500,000.00 "
35,FEMALE,SINGLE,2,PDC,0,5,CURT,Bulacan,6.0,OWNED,34.0," 523,360.55 "," 100,000.00 "
44,FEMALE,MARRIED,2,PDC,0,2,CURT,Quezon City I,16.0,OWNED,24.0," 111,812.57 "," 90,000.00 "
49,FEMALE,MARRIED,3,PDC,0,3,CURT,Quezon City I,25.0,RENTED,25.0," 197,301.97 "," 180,000.00 "
39,MALE,SINGLE,1,PDC,0,3,CURT,Bulacan,4.0,OWNED,38.0," 262,081.06 "," 200,000.00 "
36,MALE,MARRIED,4,PDC,0,8,CURT,Quezon City I,13.0,OWNED,13.0," 456,038.92 "," 300,000.00 "
46,MALE,SINGLE,2,PDC,0,4,CURT,Quezon City I,8.0,OWNED,22.0," 56,919.17 "," 90,000.00 "
28,FEMALE,SINGLE,2,PDC,0,7,CURT,Quezon City I,30.0,OWNED,22.0," 340,975.30 "," 270,000.00 "
