AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN,INDUSTRY,BUSINESS
22,FEMALE,SINGLE,5,WALK-IN,,1,CURT,PASIG,7.0,RENTED,7.0,1.45,2.693,RETAIL,MOTORCYCLE PARTS
53,FEMALE,SINGLE,1,PDC,,1,CURT,PASIG,9.0,RENTED,10.0,3.61,0.914,RETAIL,BUKO STAND
39,MALE,SINGLE,3,PDC,1.00,1,PDNP,PASIG,7.0,RENTED,7.0,1.0,,WHOLESALE/RETAIL,BIGASAN
53,FEMALE,MARRIED,1,WALK-IN,1.00,2,PDNP,PASIG,3.0,OWNED,46.0,1.12,0.4,SERVICES,CARINDERIA
27,FEMALE,MARRIED,2,WALK-IN,1.00,2,PDNP,PASIG,2.0,RENTED,0.166666667,1.2,,RESTAURANT/RETAIL,SARI-SARI STORE/CARINDERIA
49,FEMALE,SEPARATED,5,WALK-IN,1.00,3,PDNP,PASIG,6.0,SHARED/BORROWED,7.0,1.84,,RESTAURANT/RETAIL,SARI-SARI STORE/CARINDERIA
52,FEMALE,MARRIED,3,PDC,1.00,2,PDNP,PASIG,4.0,RENTED,6.0,1.92,1.2,WHOLESALE/RETAIL,DISTRIBUTOR OF NESTLE PRODUCTS
39,FEMALE,MARRIED,5,WALK-IN,1.00,2,PDNP,PASIG,6.0,OWNED,30.0,1.01,,RESTAURANT/RETAIL,TAPSIHAN/MEAT SHOP
52,FEMALE,MARRIED,5,WALK-IN,1.00,2,PDNP,PASIG,12.0,RENTED,12.0,3.52,1.795,SERVICES,"T-shirt, Digital printing, personalized etc."
39,FEMALE,SINGLE,3,WALK-IN,1.00,7,PDNP,PASIG,3.0,SHARED/BORROWED,34.0,3.19,,SERVICES,SPA
46,FEMALE,MARRIED,3,PDC,"27,442.88",11,PDNP,PASIG,11.0,SHARED/BORROWED,5.0,5.03,1.614,SERVICES,WATCH REPAIR/BUY&SELL
61,FEMALE,MARRIED,3,WALK-IN,"12,577.03",5,PDNP,PASIG,5.0,SHARED/BORROWED,30.0,1.91,0.659,RESTAURANT/RETAIL,SARI-SARI STORE/CARINDERIA
42,MALE,MARRIED,2,PDC,1.00,2,PDNP,PASIG,3.0,RENTED,3.0,1.06,,SERVICES,COMPUTER SHOP
49,FEMALE,SEPARATED,1,WALK-IN,1.00,10,PDNP,PASIG,6.0,SHARED/BORROWED,6.0,1.17,,RETAIL,PHARMACY
35,MALE,SINGLE,5,WALK-IN,1.00,1,PDNP,PASIG,3.0,SHARED/BORROWED,10.0,1.02,,SERVICES,CARINDERIA
52,FEMALE,MARRIED,3,WALK-IN,1.00,1,PDNP,PASIG,1.0,RENTED,16.0,1.81,,SERVICES,CANTEEN
42,FEMALE,MARRIED,3,WALK-IN,1.00,8,PDNP,PASIG,6.0,RENTED,3.0,2.01,,SERVICES,CARINDERIA
42,FEMALE,MARRIED,5,WALK-IN,1.00,4,PDNP,PASIG,15.0,SHARED/BORROWED,15.0,2.2,2.26,SERVICES,AUTO REPAIR SHOP
54,FEMALE,SEPARATED,3,PDC,1.00,2,PDNP,PASIG,11.0,RENTED,11.0,1.27,,RETAIL,FRUITS RETAIL
43,FEMALE,SINGLE,2,WALK-IN,1.00,1,PDNP,SMB,7.0,SHARED/BORROWED,20.0,1.15,,SERVICES,WATER REFILLING STATION
30,MALE,MARRIED,2,WALK-IN,1.00,3,PDNP,SMB,3.0,OWNED,3.0,3.12,0.722,RETAIL,HARDWARE
42,FEMALE,SINGLE,1,PDC,1.00,7,PDNP,PASIG,13.0,SHARED/BORROWED,17.0,1.37,0.126,RETAIL,RTW
54,FEMALE,MARRIED,3,WALK-IN,"66,497.83",14,PDNP,PASIG,10.0,OWNED,19.0,2.63,3.333,RETAIL,MINI GROCERY
41,FEMALE,MARRIED,3,PDC,100.00,6,PDNP,PASIG,5.0,OWNED,9.0,2.04,0.353,RETAIL/SERVICES,SARI-SARI STORE/EATERY
45,FEMALE,MARRIED,4,WALK-IN,1.00,3,PDNP,PASIG,4.0,RENTED,4.0,1.43,,SERVICES,CARINDERIA
60,MALE,MARRIED,4,PDC,1.00,6,PDNP,PASIG,15.0,RENTED,15.0,1.41,0.188,RETAIL,FRUITS RETAIL
49,FEMALE,WIDOW,3,PDC,1.00,4,PDNP,PASIG,15.0,SHARED/BORROWED,15.0,5.67,,RETAIL,BANANA RETAIL
51,FEMALE,MARRIED,2,WALK-IN,1.00,11,PDNP,PASIG,10.0,RENTED,10.0,2.76,0.564,MANUFACTURING,PUTO MAKER
42,FEMALE,MARRIED,6,WALK-IN,"12,064.97",8,PDNP,PASIG,5.0,OWNED,14.0,2.42,11.4,RETAIL,CHICKEN RETAILER
46,FEMALE,MARRIED,2,WALK-IN,1.00,2,PDNP,PASIG,17.0,OWNED,10.0,2.39,2.5,RETAIL,GENERAL MERCHANDISE
37,MALE,MARRIED,2,PDC,"10,525.29",2,PDNP,PASIG,8.0,RENTED,8.0,1.59,0.667,SERVICES,CONSTRUCTION
42,FEMALE,WIDOW,2,WALK-IN,1.00,1,PDNP,PASIG,15.0,RENTED,4.0,1.73,0.856,MANUFACTURING,SUMAN MAKER
