0,1,Target,AGE,GENDER,LOAN,LOAN OUTSTANDING,PORTFOLIO AT RISK,CURT/PDNP,CYCLE,BRANCH,INDUSTRY,BUSINESS,BUS. LOC. OWNERSHIP,YEARS,HOME YEARS,NUMBER OF DEPENDENTS,Cf to Loan,Coll 2 Loan,CF calc,Coll calc,CIVIL STATUS_MARRIED,CIVIL STATUS_NON-MARRIED,MOP_PDC,MOP_WALK-IN,HOME_NOT_OWNED,HOME_OWNED,2nd Review
0.11727965,0.88272035,1.0,22.0,1,50000.0,50000.0,0,0,1.0,PASIG,RETAIL,OTHERS,RENTED,1,7.0,5.0,1.45,2.693,72420.0,134667.0,0,1,1,0,1,0,0.0
0.19547445,0.80452555,1.0,53.0,1,50000.0,33941.0,0,0,1.0,PASIG,RETAIL,OTHERS,RENTED,1,10.0,1.0,3.61,0.914,180568.0,45700.0,0,1,0,1,1,0,0.0
0.96840787,0.031592134,0.0,39.0,0,70000.0,1.0,1,1,1.0,PASIG,WHOLESALE/RETAIL,OTHERS,RENTED,1,7.0,3.0,1.0,0.0,69884.0,0.0,0,1,0,1,1,0,0.0
0.9910938,0.008906175,0.0,53.0,1,40000.0,1.0,1,1,2.0,PASIG,SERVICES,CARINDERIA,RENTED,0,46.0,1.0,1.12,0.4,44918.0,16000.0,1,0,1,0,0,1,0.0
0.99558455,0.0044154446,0.0,27.0,1,15000.0,1.0,1,1,2.0,PASIG,OTHERS,OTHERS,RENTED,0,0.166666667,2.0,1.2,0.0,17994.0,0.0,1,0,1,0,1,0,0.0
0.9988494,0.0011506326,0.0,49.0,1,10000.0,1.0,1,1,3.0,PASIG,OTHERS,OTHERS,SHARED/BORROWED,1,7.0,5.0,1.84,0.0,18420.0,0.0,0,1,1,0,1,0,0.0
0.9929711,0.007028864,0.0,52.0,1,150000.0,1.0,1,1,2.0,PASIG,WHOLESALE/RETAIL,OTHERS,RENTED,1,6.0,3.0,1.92,1.2,288093.0,180000.0,1,0,0,1,1,0,0.0
0.9781573,0.021842735,0.0,39.0,1,50000.0,1.0,1,1,2.0,PASIG,OTHERS,OTHERS,OWNED,1,30.0,5.0,1.01,0.0,50714.0,0.0,1,0,1,0,0,1,0.0
0.97885925,0.021140777,0.0,52.0,1,21504.0,1.0,1,1,2.0,PASIG,SERVICES,OTHERS,RENTED,1,12.0,5.0,3.52,1.795,75716.0,38600.0,1,0,1,0,1,0,0.0
0.9945786,0.005421428,0.0,39.0,1,17203.0,1.0,1,1,7.0,PASIG,SERVICES,OTHERS,RENTED,0,34.0,3.0,3.19,0.0,54825.0,0.0,0,1,1,0,1,0,0.0
0.16300696,0.83699304,0.0,46.0,1,53026.0,27442.0,27442,1,11.0,PASIG,SERVICES,OTHERS,RENTED,1,5.0,3.0,5.03,1.614,266465.0,85600.0,1,0,0,1,1,0,0.0
0.91506994,0.084930055,0.0,61.0,1,30000.0,12577.0,12577,1,5.0,PASIG,OTHERS,OTHERS,SHARED/BORROWED,1,30.0,3.0,1.91,0.659,57196.0,19760.0,1,0,1,0,1,0,0.0
0.9638473,0.0361527,0.0,42.0,0,50000.0,1.0,1,1,2.0,PASIG,SERVICES,OTHERS,RENTED,0,3.0,2.0,1.06,0.0,52900.0,0.0,1,0,0,1,1,0,0.0
0.9860052,0.013994839,0.0,49.0,1,60000.0,1.0,1,1,10.0,PASIG,RETAIL,OTHERS,SHARED/BORROWED,1,6.0,1.0,1.17,0.0,70000.0,0.0,0,1,1,0,1,0,0.0
0.98052067,0.019479321,0.0,35.0,0,10000.0,1.0,1,1,1.0,PASIG,SERVICES,CARINDERIA,RENTED,0,10.0,5.0,1.02,0.0,10203.0,0.0,0,1,1,0,1,0,0.0
0.9972664,0.0027335861,0.0,52.0,1,15000.0,1.0,1,1,1.0,PASIG,SERVICES,OTHERS,RENTED,0,16.0,3.0,1.81,0.0,27087.0,0.0,1,0,1,0,1,0,0.0
0.99548095,0.0045190696,0.0,42.0,1,50000.0,1.0,1,1,8.0,PASIG,SERVICES,CARINDERIA,RENTED,1,3.0,3.0,2.01,0.0,100620.0,0.0,1,0,1,0,1,0,0.0
0.9831533,0.01684673,0.0,42.0,1,50000.0,1.0,1,1,4.0,PASIG,SERVICES,OTHERS,SHARED/BORROWED,1,15.0,5.0,2.2,2.26,110075.0,113000.0,1,0,1,0,1,0,0.0
0.9974633,0.0025367313,0.0,54.0,1,25000.0,1.0,1,1,2.0,PASIG,RETAIL,OTHERS,RENTED,1,11.0,3.0,1.27,0.0,31733.0,0.0,0,1,0,1,1,0,0.0
0.9930983,0.00690171,0.0,43.0,1,30000.0,1.0,1,1,1.0,SMB,SERVICES,OTHERS,MORTGAGED,1,20.0,2.0,1.15,0.0,34548.0,0.0,0,1,1,0,1,0,0.0
0.9846511,0.015348886,0.0,30.0,0,77510.0,1.0,1,1,3.0,SMB,RETAIL,OTHERS,OWNED,0,3.0,2.0,3.12,0.722,242013.0,56000.0,1,0,1,0,0,1,0.0
0.993593,0.0064070323,0.0,42.0,1,230000.0,1.0,1,1,7.0,PASIG,RETAIL,RTW,OWNED,1,17.0,1.0,1.37,0.126,314481.0,29000.0,0,1,0,1,1,0,0.0
0.14202982,0.8579702,0.0,54.0,1,90000.0,66497.0,66497,1,14.0,PASIG,RETAIL,OTHERS,OWNED,1,19.0,3.0,2.63,3.333,236832.0,300000.0,1,0,1,0,0,1,0.0
0.996776,0.0032240301,0.0,41.0,1,161500.0,100.0,100,1,6.0,PASIG,OTHERS,OTHERS,OWNED,1,9.0,3.0,2.04,0.353,328925.0,57000.0,1,0,0,1,0,1,0.0
0.9966511,0.0033488763,0.0,45.0,1,20000.0,1.0,1,1,3.0,PASIG,SERVICES,CARINDERIA,RENTED,1,4.0,4.0,1.43,0.0,28615.0,0.0,1,0,1,0,1,0,0.0
0.987232,0.012767997,0.0,60.0,0,120000.0,1.0,1,1,6.0,PASIG,RETAIL,OTHERS,OWNED,1,15.0,4.0,1.41,0.188,169646.0,22500.0,1,0,0,1,1,0,0.0
0.98647445,0.01352553,0.0,49.0,1,26790.0,1.0,1,1,4.0,PASIG,RETAIL,OTHERS,SHARED/BORROWED,1,15.0,3.0,5.67,0.0,151894.0,0.0,0,1,0,1,1,0,0.0
0.9439016,0.056098387,0.0,51.0,1,40000.0,1.0,1,1,11.0,PASIG,MANUFACTURING,OTHERS,RENTED,1,10.0,2.0,2.76,0.564,110490.0,22541.0,1,0,1,0,1,0,0.0
0.9365501,0.0634499,0.0,42.0,1,50000.0,12064.0,12064,1,8.0,PASIG,RETAIL,OTHERS,RENTED,1,14.0,6.0,2.42,11.4,121037.0,570000.0,1,0,1,0,0,1,0.0
0.97768205,0.022317935,0.0,46.0,1,100000.0,1.0,1,1,2.0,PASIG,RETAIL,GENERAL MERCHANDISE,OWNED,1,10.0,2.0,2.39,2.5,238737.0,250000.0,1,0,1,0,0,1,0.0
0.9202262,0.07977378,0.0,37.0,0,150000.0,10525.0,10525,1,2.0,PASIG,SERVICES,OTHERS,RENTED,1,8.0,2.0,1.59,0.667,238215.0,100000.0,1,0,0,1,1,0,0.0
0.98956525,0.010434776,0.0,42.0,1,42044.0,1.0,1,1,1.0,PASIG,MANUFACTURING,OTHERS,RENTED,1,4.0,2.0,1.73,0.856,72572.0,36000.0,0,1,1,0,1,0,0.0
0.9231196,0.07688037,0.0,38.0,1,50000.0,8543.0,8543,1,1.0,PASIG,RETAIL,OTHERS,SHARED/BORROWED,1,20.0,3.0,1.75,0.486,87382.0,24280.0,1,0,1,0,0,1,0.0
0.9980804,0.0019196302,0.0,51.0,1,15000.0,1.0,1,1,2.0,PASIG,SERVICES,CARINDERIA,SHARED/BORROWED,0,26.0,4.0,1.3,0.0,19547.0,0.0,1,0,1,0,1,0,0.0
0.35106242,0.6489376,0.0,55.0,0,100000.0,63803.0,63803,1,1.0,PASIG,SERVICES,OTHERS,RENTED,1,12.0,5.0,1.53,0.535,152617.0,53530.0,0,1,0,1,1,0,0.0
0.99225587,0.0077441446,0.0,49.0,1,75000.0,1.0,1,1,4.0,PASIG,RETAIL,OTHERS,RENTED,1,4.0,4.0,1.69,0.0,126714.0,0.0,0,1,1,0,1,0,0.0
0.97414607,0.025853954,0.0,48.0,1,30000.0,4304.0,4304,1,1.0,PASIG,RETAIL,OTHERS,OWNED,1,25.0,2.0,3.66,1.204,109799.0,36120.0,1,0,1,0,0,1,0.0
0.9906108,0.009389251,0.0,30.0,1,50000.0,1.0,1,1,2.0,PASIG,SERVICES,OTHERS,RENTED,0,3.0,2.0,3.0,0.0,150201.0,0.0,0,1,1,0,1,0,0.0
0.78377825,0.21622175,0.0,48.0,1,60000.0,8611.0,8611,1,2.0,PASIG,RETAIL,OTHERS,OWNED,1,18.0,1.0,1.28,0.779,76513.0,46720.0,0,1,1,0,0,1,0.0
0.9802739,0.019726094,0.0,39.0,1,40000.0,1916.0,1916,1,5.0,PASIG,RETAIL,OTHERS,OWNED,1,9.0,3.0,2.14,1.75,85540.0,70000.0,1,0,1,0,1,0,0.0
